,key_0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,Delay,predicted_payment_date,bucketed_delay
0,0,U001,0200078795,H T H us,,2020.0,1930611757.0,2020-03-06,2020-03-06,2020-03-06,2020-03-21,USD,RV,8831.49,20200306.0,NAA8,1930611757.0,0,2020-03-21,null
1,1,U001,0200769623,WAL-MAR llc,,2020.0,1930682697.0,2020-03-22,2020-03-21,2020-03-22,2020-04-06,USD,RV,661.11,20200322.0,NAH4,1930682697.0,1,2020-04-07,+ve
2,2,U001,0200092114,MRS GE trust,,2020.0,1930662072.0,2020-03-17,2020-03-17,2020-03-17,2020-03-27,USD,RV,55515.6,20200317.0,NA10,1930662072.0,1,2020-03-28,+ve
3,3,CA02,0140104440,SO corp,,2020.0,2960630031.0,2020-04-21,2020-04-21,2020-04-21,2020-05-03,CAD,RV,287220.92,20200423.0,CA10,2960630031.0,-4,2020-04-29,null
4,4,U001,0200769623,WAL-MAR associates,,2020.0,1930802959.0,2020-04-20,2020-04-20,2020-04-20,2020-05-05,USD,RV,471.56,20200420.0,NAH4,1930802959.0,1,2020-05-06,+ve
5,5,CA02,0140104429,COSTCO associates,,2020.0,2960619462.0,2020-03-10,2020-03-10,2020-03-10,2020-03-23,CAD,RV,2201.38,20200313.0,CA10,2960619462.0,-4,2020-03-19,null
6,6,U001,0200799538,UNITE corporation,,2020.0,1930714690.0,2020-03-28,2020-03-28,2020-03-28,2020-04-12,USD,RV,46022.31,20200328.0,NAA8,1930714690.0,0,2020-04-12,null
7,7,U001,0200148860,DOLLA foundation,,2020.0,1930637130.0,2020-03-11,2020-03-11,2020-03-11,2020-03-26,USD,RV,6251.77,20200311.0,NAA8,1930637130.0,0,2020-03-26,null
8,8,U001,0200769623,WAL-MAR co,,2020.0,1930886117.0,2020-05-11,2020-05-11,2020-05-11,2020-05-26,USD,RV,6532.6,20200511.0,NAH4,1930886117.0,1,2020-05-27,+ve
9,9,U001,0200759878,SA trust,,2020.0,1930843998.0,2020-05-03,2020-05-04,2020-05-03,2020-05-18,USD,RV,29630.99,20200503.0,NAH4,1930843998.0,0,2020-05-18,null
10,10,U001,0200759878,SA co,,2020.0,1930723258.0,2020-04-02,2020-03-31,2020-04-02,2020-04-17,USD,RV,14951.11,20200402.0,NAH4,1930723258.0,0,2020-04-17,null
11,11,CA02,0140104423,METRO  llc,,2020.0,2960617264.0,2020-03-03,2020-03-03,2020-03-03,2020-03-15,CAD,RV,48268.71,20200305.0,CA10,2960617264.0,-4,2020-03-11,null
12,12,U001,0200290370,BARGAIN  co,,2020.0,1930582589.0,2020-03-03,2020-02-29,2020-03-03,2020-03-18,USD,RV,3596.6,20200303.0,NAA8,1930582589.0,0,2020-03-18,null
13,13,U001,0200707822,PUBLI llc,,2020.0,1930686890.0,2020-03-25,2020-03-23,2020-03-25,2020-04-09,USD,RV,188407.3,20200325.0,NAA8,1930686890.0,0,2020-04-09,null
14,14,U001,0200726979,BJ'S  corp,,2020.0,1930617537.0,2020-03-07,2020-03-06,2020-03-07,2020-03-22,USD,RV,448.62,20200307.0,NAA8,1930617537.0,0,2020-03-22,null
15,15,U001,0200732755,KROGER llc,,2020.0,1930589586.0,2020-03-03,2020-03-02,2020-03-03,2020-03-18,USD,RV,11857.26,20200303.0,NAA8,1930589586.0,0,2020-03-18,null
16,16,U001,0200704858,WAKE foundation,,2020.0,1930704209.0,2020-03-26,2020-03-25,2020-03-26,2020-04-10,USD,RV,35163.07,20200326.0,NAA8,1930704209.0,0,2020-04-10,null
17,17,U001,0200705372,FR corporation,,2020.0,1930624444.0,2020-03-10,2020-03-09,2020-03-10,2020-05-14,USD,RV,4921.16,20200310.0,NAGD,1930624444.0,0,2020-05-14,null
18,18,U001,0200777735,NASH  us,,2020.0,1930859046.0,2020-05-06,2020-05-05,2020-05-06,2020-05-21,USD,RV,32.62,20200506.0,NAA8,1930859046.0,0,2020-05-21,null
19,19,U001,0200418007,AM co,,2020.0,1930576096.0,2020-03-04,2020-03-02,2020-03-04,2020-03-19,USD,RV,8291.64,20200304.0,NAA8,1930576096.0,0,2020-03-19,null
20,20,U001,0200793513,KROGER ,,2020.0,1930795660.0,2020-04-22,2020-04-16,2020-04-22,2020-05-07,USD,RV,21425.81,20200422.0,NAA8,1930795660.0,0,2020-05-07,null
21,21,U001,0200769623,WAL-MAR corp,,2020.0,1930694473.0,2020-03-27,2020-03-25,2020-03-27,2020-04-11,USD,RV,15465.22,20200327.0,NAH4,1930694473.0,1,2020-04-12,+ve
22,22,U001,0200704858,WAKE corp,,2020.0,1930665988.0,2020-03-19,2020-03-18,2020-03-19,2020-04-03,USD,RV,46915.11,20200319.0,NAA8,1930665988.0,0,2020-04-03,null
23,23,U001,0200290370,BARGAIN  associates,,2020.0,1930631109.0,2020-03-14,2020-03-10,2020-03-14,2020-03-29,USD,RV,7803.9,20200314.0,NAA8,1930631109.0,0,2020-03-29,null
24,24,U001,0200769623,WAL-MAR in,,2020.0,1930638499.0,2020-03-13,2020-03-11,2020-03-13,2020-03-28,USD,RV,63868.67,20200313.0,NAH4,1930638499.0,1,2020-03-29,+ve
25,25,U001,0200781803,JRD corporation,,2020.0,1930666040.0,2020-03-18,2020-03-18,2020-03-18,2020-04-02,USD,RV,13935.84,20200318.0,NAA8,1930666040.0,0,2020-04-02,null
26,26,U001,0200769623,WAL-MAR corporation,,2020.0,1930851084.0,2020-05-03,2020-05-02,2020-05-03,2020-05-18,USD,RV,20629.35,20200503.0,NAH4,1930851084.0,1,2020-05-19,+ve
27,27,U001,0200769623,WAL-MAR systems,,2020.0,1930609601.0,2020-03-05,2020-03-05,2020-03-05,2020-03-20,USD,RV,12834.98,20200305.0,NAH4,1930609601.0,1,2020-03-21,+ve
28,28,U001,0200729942,SA co,,2020.0,1930782428.0,2020-04-13,2020-04-14,2020-04-13,2020-04-28,USD,RV,8247.6,20200413.0,NAA8,1930782428.0,0,2020-04-28,null
29,29,U001,0200761734,H E BUT llc,,2020.0,1930670116.0,2020-03-19,2020-03-18,2020-03-19,2020-04-03,USD,RV,3785.74,20200319.0,NAA8,1930670116.0,0,2020-04-03,null
30,30,U001,0200769623,WAL-MAR trust,,2020.0,1930664502.0,2020-03-19,2020-03-17,2020-03-19,2020-04-03,USD,RV,54774.08,20200319.0,NAH4,1930664502.0,1,2020-04-04,+ve
31,31,U001,0100031704,DELHAIZE ,,2020.0,1930802844.0,2020-04-20,2020-04-20,2020-04-20,2020-05-05,USD,RV,115411.93,20200420.0,NAA8,1930802844.0,0,2020-05-05,null
32,32,U001,0200769623,WAL-MAR llc,,2020.0,1930855248.0,2020-05-04,2020-05-03,2020-05-04,2020-05-19,USD,RV,15857.6,20200504.0,NAH4,1930855248.0,1,2020-05-20,+ve
33,33,U001,0200353024,DECA systems,,2020.0,1930606651.0,2020-03-05,2020-03-05,2020-03-05,2020-03-11,USD,RV,7323.66,20200301.0,NAM2,1930606651.0,1,2020-03-12,+ve
34,34,U001,0200769623,WAL-MAR co,,2020.0,1930621222.0,2020-03-09,2020-03-07,2020-03-09,2020-03-24,USD,RV,661.11,20200309.0,NAH4,1930621222.0,1,2020-03-25,+ve
35,35,U001,0200719839,ASSOCI llc,,2020.0,1930744528.0,2020-04-06,2020-04-03,2020-04-06,2020-04-21,USD,RV,47385.17,20200406.0,NAA8,1930744528.0,0,2020-04-21,null
36,36,U001,0200230690,DECA corporation,,2020.0,1930740719.0,2020-04-03,2020-04-03,2020-04-03,2020-04-24,USD,RV,2484.42,20200401.0,NAM4,1930740719.0,1,2020-04-25,+ve
37,37,U001,0200769623,WAL-MAR ,,2020.0,1930739748.0,2020-04-03,2020-04-03,2020-04-03,2020-04-18,USD,RV,11579.12,20200403.0,NAH4,1930739748.0,1,2020-04-19,+ve
38,38,U001,0200803720,DEC co,,2020.0,1930773258.0,2020-04-10,2020-04-10,2020-04-10,2020-04-08,USD,RV,6207.72,20200401.0,NAM1,1930773258.0,1,2020-04-09,+ve
39,39,U001,0200759082,INGL ,,2020.0,1930593293.0,2020-03-03,2020-03-04,2020-03-03,2020-03-18,USD,RV,51327.47,20200303.0,NAA8,1930593293.0,0,2020-03-18,null
40,40,U001,0200769623,WAL-MAR corporation,,2020.0,1930642262.0,2020-03-12,2020-03-12,2020-03-12,2020-03-27,USD,RV,10947.74,20200312.0,NAH4,1930642262.0,1,2020-03-28,+ve
41,41,U001,0200769623,WAL-MAR foundation,,2020.0,1930853369.0,2020-05-03,2020-05-03,2020-05-03,2020-05-18,USD,RV,35528.05,20200503.0,NAH4,1930853369.0,1,2020-05-19,+ve
42,42,U001,0200772670,ASSOCIAT in,,2020.0,1930652332.0,2020-03-14,2020-03-14,2020-03-14,2020-03-29,USD,RV,14550.58,20200314.0,NAU5,1930652332.0,1,2020-03-30,+ve
43,43,U001,0200763814,SYSCO F ,,2020.0,1930672793.0,2020-03-19,2020-03-19,2020-03-19,2020-04-03,USD,RV,55373.96,20200319.0,NAA8,1930672793.0,0,2020-04-03,null
44,44,U001,0200778870,C trust,,2020.0,1930763230.0,2020-04-08,2020-04-08,2020-04-08,2020-04-23,USD,RV,7328.81,20200408.0,NAA8,1930763230.0,0,2020-04-23,null
45,45,U001,0200744019,TARG foundation,,2020.0,1930708577.0,2020-03-28,2020-03-27,2020-03-28,2020-04-12,USD,RV,9673.78,20200328.0,NAA8,1930708577.0,0,2020-04-12,null
